q CP mean: 1.9043793439865113, q CP std: 0.02856683624414805
avg_len CP mean: 0.2726799488067627, avg_len CP std: 0.003948163068550632
avg_cov CP mean: 0.9500750035047532, avg_cov CP std: 0.004789728624501858
q GC mean: 1.6784162761981487, q GC std: 0.010476897929136027
avg_len GC mean: 0.2403265543282032, avg_len GC std: 0.0014185612058762553
avg_cov GC mean: 0.9212124973535538, avg_cov GC std: 0.0027533267390999947
q new addtive mean: 0.10671416334807873, q new addtive std: 0.0019972859354033977
avg_len new addtive mean: 0.259926575422287, avg_len new addtive std: 0.003982086701237421
avg_cov new addtive mean: 0.9502874970436096, avg_cov new addtive std: 0.004888404557433833
q new div mean: 5.681926321983338, q new div std: 0.1236890210309473
avg_len new div mean: 0.26420077085495, avg_len new div std: 0.005813406564706895
avg_cov new div mean: 0.9509124994277954, avg_cov new div std: 0.00575044049972752
boneage, densenet201, 0.05, 5
