q CP mean: 1.8620778143405914, q CP std: 0.024102012686110966
avg_len CP mean: 0.05762806236743927, avg_len CP std: 0.0010078288607119163
avg_cov CP mean: 0.8969218850135803, avg_cov CP std: 0.00968692073206968
q GC mean: 1.649861879798174, q GC std: 0.010835482766538215
avg_len GC mean: 0.05105847362428904, avg_len GC std: 0.0005145574461887738
avg_cov GC mean: 0.8502586603164672, avg_cov GC std: 0.00854601424361571
q new addtive mean: 0.03251616656780243, q new addtive std: 0.0005420988969736291
avg_len new addtive mean: 0.07539085261523723, avg_len new addtive std: 0.0011345813651693095
avg_cov new addtive mean: 0.9018365234136582, avg_cov new addtive std: 0.008356683526522593
q new div mean: 1.0667916536331177, q new div std: 0.0008107411120520444
avg_len new div mean: 0.07348350510001182, avg_len new div std: 0.0007528664951584159
avg_cov new div mean: 0.9025090575218201, avg_cov new div std: 0.00688668106139733
lumbar, efficientnetb4, 0.1, 2
