q CP mean: 0.053275044448673724, q CP std: 0.0010502409187164439
avg_len CP mean: 0.13611771091818808, avg_len CP std: 0.0026931436013377767
avg_cov CP mean: 0.9488590329885482, avg_cov CP std: 0.00752738992402814
q GC mean: 0.24538077925372404, q GC std: 0.0025500367415174996
avg_len GC mean: 0.626835948228836, avg_len GC std: 0.006680551735805862
avg_cov GC mean: 0.9982505112886428, avg_cov GC std: 0.0006472249588118592
q new addtive mean: 0.06455969661474228, q new addtive std: 0.001034524107674238
avg_len new addtive mean: 0.1494613878428936, avg_len new addtive std: 0.0020287198067443233
avg_cov new addtive mean: 0.9489604532718658, avg_cov new addtive std: 0.006018718476853667
q new div mean: 1.1285564243793487, q new div std: 0.0022129564026208016
avg_len new div mean: 0.1418580025434494, avg_len new div std: 0.001864709710093214
avg_cov new div mean: 0.9488083213567734, avg_cov new div std: 0.006469979872000346
q mu mean: 2.9805953979492186, q mu std: 0.04669571791358806
avg_len mu mean: 0.15190101712942122, avg_len mu std: 0.0033100305396865175
avg_cov mu mean: 0.9411511123180389, avg_cov mu std: 0.006812348074216096
lumbar, densenet201, 0.05, 3
