q CP mean: 1.5159935534000397, q CP std: 0.012722884820811457
avg_len CP mean: 0.17800139561295508, avg_len CP std: 0.0014907821558040413
avg_cov CP mean: 0.901610353589058, avg_cov CP std: 0.008078902125125678
q GC mean: 1.6244784660980105, q GC std: 0.01738160184415935
avg_len GC mean: 0.1907392144203186, avg_len GC std: 0.0020373697310724997
avg_cov GC mean: 0.9317053854465485, avg_cov GC std: 0.0070862798756399555
q new addtive mean: 0.023202665150165558, q new addtive std: 0.0005602117159362168
avg_len new addtive mean: 0.10420571602880954, avg_len new addtive std: 0.0012528236616941052
avg_cov new addtive mean: 0.9017951369285584, avg_cov new addtive std: 0.009452614375664083
q new div mean: 1.5359600841999055, q new div std: 0.01236886529578843
avg_len new div mean: 0.08877995237708092, avg_len new div std: 0.0009666295023260586
avg_cov new div mean: 0.12589757032692434, avg_cov new div std: 0.005922818357174186
lumbar, efficientnetb4, 0.1, 1
