q CP mean: 1.5159935534000397, q CP std: 0.012722884820811457
avg_len CP mean: 0.17800139784812927, avg_len CP std: 0.0014907782408171836
avg_cov CP mean: 0.901610353589058, avg_cov CP std: 0.008078902125125678
q GC mean: 1.4892690073499084, q GC std: 0.005807307304675828
avg_len GC mean: 0.17486353665590287, avg_len GC std: 0.0006800169654224019
avg_cov GC mean: 0.8926082372665405, avg_cov GC std: 0.005171457178415723
q new addtive mean: 0.0336561506614089, q new addtive std: 0.0008766243171957867
avg_len new addtive mean: 0.13149288669228554, avg_len new addtive std: 0.0019442515829563285
avg_cov new addtive mean: 0.8996568053960801, avg_cov new addtive std: 0.009970030188616023
q new div mean: 3.5785834074020384, q new div std: 1.098693031973981
avg_len new div mean: 0.2299738846719265, avg_len new div std: 0.07205106863142892
avg_cov new div mean: 0.8993928164243699, avg_cov new div std: 0.009029451516722775
lumbar, efficientnetb4, 0.1, 1
