q CP mean: 1.918655264377594, q CP std: 0.0308719101656672
avg_len CP mean: 0.2747404918074608, avg_len CP std: 0.004413700924344151
avg_cov CP mean: 0.9504374980926513, avg_cov CP std: 0.004906272657970912
q GC mean: 1.6793817634052037, q GC std: 0.009290446596734675
avg_len GC mean: 0.24047797918319702, avg_len GC std: 0.001338041577181204
avg_cov GC mean: 0.9222750008106232, avg_cov GC std: 0.0027300653551491577
q new addtive mean: 0.08284262455999851, q new addtive std: 0.00206454953427917
avg_len new addtive mean: 0.2645545542240143, avg_len new addtive std: 0.004149284710695868
avg_cov new addtive mean: 0.9506375014781951, avg_cov new addtive std: 0.005153225320638187
q new div mean: 3.0397172808647155, q new div std: 0.12353015077753292
avg_len new div mean: 0.30054859817028046, avg_len new div std: 0.01257643824256879
avg_cov new div mean: 0.9496499955654144, avg_cov new div std: 0.0071494410890749404
boneage, densenet201, 0.05, 1
