q CP mean: 1.5597586274147033, q CP std: 0.015823660854263812
avg_len CP mean: 0.20235996544361115, avg_len CP std: 0.0020428726929422993
avg_cov CP mean: 0.9516895443201066, avg_cov CP std: 0.006110645939050828
q GC mean: 1.6896670809642076, q GC std: 0.006577163837728101
avg_len GC mean: 0.21921417117118835, avg_len GC std: 0.0008646260040415548
avg_cov GC mean: 0.9713833123445511, avg_cov GC std: 0.0022764235767673306
q new addtive mean: 0.015738865733146666, q new addtive std: 0.0006068301880128043
avg_len new addtive mean: 0.10567513145506383, avg_len new addtive std: 0.0015822993806008845
avg_cov new addtive mean: 0.951425564289093, avg_cov new addtive std: 0.007548886921186239
q new div mean: 1.3043350636959077, q new div std: 0.015725924306898724
avg_len new div mean: 0.0967814527451992, avg_len new div std: 0.0016156454961881307
avg_cov new div mean: 0.9500263959169388, avg_cov new div std: 0.00795998116056828
lumbar, densenet201, 0.05, 1
