q CP mean: 1.4801982939243317, q CP std: 0.01384948173540066
avg_len CP mean: 0.22356686368584633, avg_len CP std: 0.0020925231918873396
avg_cov CP mean: 0.902386999130249, avg_cov CP std: 0.008785174856174235
q GC mean: 1.579748185969442, q GC std: 0.010541496362654893
avg_len GC mean: 0.23860288932919502, avg_len GC std: 0.001619492840051887
avg_cov GC mean: 0.9317166030406951, avg_cov GC std: 0.0073366255501182845
q new addtive mean: 0.015337148495018483, q new addtive std: 0.0006351853948020138
avg_len new addtive mean: 0.11503912396728992, avg_len new addtive std: 0.0015833149762552237
avg_cov new addtive mean: 0.9003047257661819, avg_cov new addtive std: 0.011618828761395673
q new div mean: 1.2500438451766969, q new div std: 0.01757152116751341
avg_len new div mean: 0.10546536482870579, avg_len new div std: 0.0019875798339296664
avg_cov new div mean: 0.09388014189898967, avg_cov new div std: 0.004863737121772518
lumbar, densenet201, 0.1, 5
