q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726169109346, avg_len CP std: 0.0013227767308078612
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4180130707381664, q GC std: 0.005519728942675903
avg_len GC mean: 0.1839702993631363, avg_len GC std: 0.0007256121322736525
avg_cov GC mean: 0.9159714847803115, avg_cov GC std: 0.00444812474267514
q new addtive mean: 0.0153736874461174, q new addtive std: 0.0006504537463265322
avg_len new addtive mean: 0.09667391963303089, avg_len new addtive std: 0.0014377269749826396
avg_cov new addtive mean: 0.9017159521579743, avg_cov new addtive std: 0.009550318584726547
q new div mean: 1.4039063990116118, q new div std: 0.016980401515586073
avg_len new div mean: 0.09255679324269295, avg_len new div std: 0.0014618832000427434
avg_cov new div mean: 0.9031414955854415, avg_cov new div std: 0.009665161323080118
lumbar, densenet201, 0.1, 1
