q CP mean: 1.7106546401977538, q CP std: 0.026003884363070193
avg_len CP mean: 0.05781018268316984, avg_len CP std: 0.0008787146166037923
avg_cov CP mean: 0.9023108094930649, avg_cov CP std: 0.008433014087624842
q GC mean: 1.5556604046294091, q GC std: 0.011090182369776743
avg_len GC mean: 0.0525726618245244, avg_len GC std: 0.00042531125843191275
avg_cov GC mean: 0.8755205750465394, avg_cov GC std: 0.006206811770047646
q new addtive mean: 0.02730281250551343, q new addtive std: 0.0006928752339527199
avg_len new addtive mean: 0.06628175601363182, avg_len new addtive std: 0.0013465232193550778
avg_cov new addtive mean: 0.9005586564540863, avg_cov new addtive std: 0.011704394151176658
q new div mean: 8.715129518508911, q new div std: 0.5224231122264607
avg_len new div mean: 0.10176639929413796, avg_len new div std: 0.006298460405316375
avg_cov new div mean: 0.9005078792572021, avg_cov new div std: 0.0099138124667528
lumbar, efficientnetb4, 0.1, 5
