q CP mean: 1.5179569661617278, q CP std: 0.022340962670928152
avg_len CP mean: 0.07399538904428482, avg_len CP std: 0.0011342877469589028
avg_cov CP mean: 0.9506085216999054, avg_cov CP std: 0.00786352098249265
q GC mean: 1.5315523898459673, q GC std: 0.01491662461402467
avg_len GC mean: 0.07465734258294106, avg_len GC std: 0.0007130141749500131
avg_cov GC mean: 0.9532961428165436, avg_cov GC std: 0.005500892469792468
q new addtive mean: 0.02892204960808158, q new addtive std: 0.0005562039370465806
avg_len new addtive mean: 0.07238267846405506, avg_len new addtive std: 0.0011029786729460623
avg_cov new addtive mean: 0.9515212923288345, avg_cov new addtive std: 0.007906436798674504
q new div mean: 6.900108671188354, q new div std: 0.2348963393190626
avg_len new div mean: 0.10032378286123275, avg_len new div std: 0.003633692680323253
avg_cov new div mean: 0.9507352977991104, avg_cov new div std: 0.00684367224446976
lumbar, efficientnetb4, 0.05, 4
