q CP mean: 1.5597586274147033, q CP std: 0.015823660854263812
avg_len CP mean: 0.20235996544361115, avg_len CP std: 0.0020428726929422993
avg_cov CP mean: 0.9516895443201066, avg_cov CP std: 0.006110645939050828
q GC mean: 1.6896670809642076, q GC std: 0.006577163837728101
avg_len GC mean: 0.21921417117118835, avg_len GC std: 0.0008646260040415548
avg_cov GC mean: 0.9713833123445511, avg_cov GC std: 0.0022764235767673306
q new addtive mean: 0.041606017760932444, q new addtive std: 0.0008092319952380106
avg_len new addtive mean: 0.1327477939426899, avg_len new addtive std: 0.0018221453227518114
avg_cov new addtive mean: 0.9523231238126755, avg_cov new addtive std: 0.0064302721506944325
q new div mean: 3.3570470333099367, q new div std: 0.1582497746537957
avg_len new div mean: 0.16632747724652291, avg_len new div std: 0.008671987019405743
avg_cov new div mean: 0.9501847922801971, avg_cov new div std: 0.007852350728972824
lumbar, densenet201, 0.05, 1
