q CP mean: 4.811212539672852, q CP std: 0.16180534458374327
avg_len CP mean: 0.2254584588110447, avg_len CP std: 0.007526220504305212
avg_cov CP mean: 0.9504750013351441, avg_cov CP std: 0.006123669879215531
q GC mean: 2.322906600877762, q GC std: 0.02403432667616732
avg_len GC mean: 0.10885502994060517, avg_len GC std: 0.0011647477239521596
avg_cov GC mean: 0.8104000002145767, avg_cov GC std: 0.0056866624410925135
q new addtive mean: 0.09324681833386421, q new addtive std: 0.003927840214264239
avg_len new addtive mean: 0.21713032126426696, avg_len new addtive std: 0.007851556641352514
avg_cov new addtive mean: 0.9505125015974045, avg_cov new addtive std: 0.006573712501050415
q new div mean: 7.363901257514954, q new div std: 0.27835453856115205
avg_len new div mean: 0.22560680285096169, avg_len new div std: 0.008570392705782715
avg_cov new div mean: 0.9499624997377396, avg_cov new div std: 0.005872139856675219
boneage, efficientnetb4, 0.05, 5
