q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726169109346, avg_len CP std: 0.0013227767308078612
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4180130707381664, q GC std: 0.005519728942675903
avg_len GC mean: 0.1839702993631363, avg_len GC std: 0.0007256121322736525
avg_cov GC mean: 0.9159714847803115, avg_cov GC std: 0.00444812474267514
q new addtive mean: 0.009285434335470199, q new addtive std: 0.00044477313671876915
avg_len new addtive mean: 0.09276826903223992, avg_len new addtive std: 0.0012214485967566944
avg_cov new addtive mean: 0.9022175312042237, avg_cov new addtive std: 0.009555422802822873
q new div mean: 1.1708733201026917, q new div std: 0.009249489179931571
avg_len new div mean: 0.08687851391732693, avg_len new div std: 0.0012070115541444528
avg_cov new div mean: 0.9020855367183686, avg_cov new div std: 0.010065233226370105
lumbar, densenet201, 0.1, 1
