q CP mean: 1.592314565181732, q CP std: 0.0250197994609316
avg_len CP mean: 0.06986665464937687, avg_len CP std: 0.0011454358763186225
avg_cov CP mean: 0.9515973657369614, avg_cov CP std: 0.006981118626597376
q GC mean: 1.6536577627054452, q GC std: 0.011340925894541491
avg_len GC mean: 0.07255779653787613, avg_len GC std: 0.0005444707896481186
avg_cov GC mean: 0.9599137961864471, avg_cov GC std: 0.0051438047211077595
q new addtive mean: 0.028839011304080488, q new addtive std: 0.0005227528363525439
avg_len new addtive mean: 0.07187724746763706, avg_len new addtive std: 0.0010600188827722685
avg_cov new addtive mean: 0.9519269734621048, avg_cov new addtive std: 0.007027724511569414
q new div mean: 6.427414536476135, q new div std: 0.2571695782451902
avg_len new div mean: 0.09127694219350815, avg_len new div std: 0.00405285809580151
avg_cov new div mean: 0.9497464537620545, avg_cov new div std: 0.006303469853442912
lumbar, efficientnetb4, 0.05, 3
