q CP mean: 1.1756305873394013, q CP std: 0.01253044558713652
avg_len CP mean: 0.14843421429395676, avg_len CP std: 0.0015718095683980528
avg_cov CP mean: 0.9520284056663513, avg_cov CP std: 0.0064823637097733275
q GC mean: 1.2448577420572042, q GC std: 0.026966968346561655
avg_len GC mean: 0.1571746923029423, avg_len GC std: 0.003395664764995258
avg_cov GC mean: 0.9661764681339264, avg_cov GC std: 0.006193438021576116
q new addtive mean: 0.01848310697823763, q new addtive std: 0.000782490745224482
avg_len new addtive mean: 0.11845556981861591, avg_len new addtive std: 0.0016309896676622111
avg_cov new addtive mean: 0.9547667354345322, avg_cov new addtive std: 0.005855324159972445
q new div mean: 1.9390567362308502, q new div std: 0.040958802519181686
avg_len new div mean: 0.15801067650318146, avg_len new div std: 0.0033051942194772155
avg_cov new div mean: 0.5406440168619155, avg_cov new div std: 0.009918367833654691
lumbar, densenet201, 0.05, 3
