q CP mean: 1.6592111110687255, q CP std: 0.016489617186789082
avg_len CP mean: 0.2506046794354916, avg_len CP std: 0.002491734989990212
avg_cov CP mean: 0.9512696832418441, avg_cov CP std: 0.007331069691221326
q GC mean: 1.7834303975669146, q GC std: 0.007229781252096111
avg_len GC mean: 0.26936668902635574, avg_len GC std: 0.0011245405022492745
avg_cov GC mean: 0.9703656762838364, avg_cov GC std: 0.00308827141022935
q new addtive mean: 0.02826301408931613, q new addtive std: 0.0008461133735699513
avg_len new addtive mean: 0.12851595729589463, avg_len new addtive std: 0.0018270500200696855
avg_cov new addtive mean: 0.9500507861375809, avg_cov new addtive std: 0.0073897206908141765
q new div mean: 1.7732093453407287, q new div std: 0.056687772467633346
avg_len new div mean: 0.12766531631350517, avg_len new div std: 0.004548526604877225
avg_cov new div mean: 0.9482478439807892, avg_cov new div std: 0.006191475077620299
lumbar, densenet201, 0.05, 5
