q CP mean: 0.9640594512224198, q CP std: 0.013429073671029707
avg_len CP mean: 0.2525872364640236, avg_len CP std: 0.003567133469253109
avg_cov CP mean: 0.9511427164077759, avg_cov CP std: 0.008196802314245471
q GC mean: 1.357433873998761, q GC std: 0.005630806710293306
avg_len GC mean: 0.35565220564603806, avg_len GC std: 0.0015467775528738579
avg_cov GC mean: 0.9970543473958969, avg_cov GC std: 0.000865659246579255
q new addtive mean: 0.022387278638780116, q new addtive std: 0.0005822430043693745
avg_len new addtive mean: 0.11805449798703194, avg_len new addtive std: 0.0013266346994376293
avg_cov new addtive mean: 0.9496952772140503, avg_cov new addtive std: 0.00550082223490511
q new div mean: 1.7312336981296539, q new div std: 0.039642576122755555
avg_len new div mean: 0.1268700622022152, avg_len new div std: 0.00325078488121878
avg_cov new div mean: 0.9492635846138, avg_cov new div std: 0.0053745595857185215
lumbar, efficientnetb4, 0.05, 5
