q CP mean: 1.356873482465744, q CP std: 0.017573251451725044
avg_len CP mean: 0.1804921291768551, avg_len CP std: 0.0023468938800215696
avg_cov CP mean: 0.9510649114847183, avg_cov CP std: 0.007404524847793261
q GC mean: 1.4529996950708628, q GC std: 0.022529009986661564
avg_len GC mean: 0.19327889010310173, avg_len GC std: 0.003004714126340941
avg_cov GC mean: 0.9652129739522934, avg_cov GC std: 0.004862256749010455
q new addtive mean: 0.017724856734275818, q new addtive std: 0.0005766493122963232
avg_len new addtive mean: 0.0926546324044466, avg_len new addtive std: 0.0011042295254327895
avg_cov new addtive mean: 0.9506845921278, avg_cov new addtive std: 0.005911164477902572
q new div mean: 1.574056577682495, q new div std: 0.037528533104164874
avg_len new div mean: 0.09005127027630806, avg_len new div std: 0.0025437340094254545
avg_cov new div mean: 0.1710953362286091, avg_cov new div std: 0.006048158519106316
lumbar, efficientnetb4, 0.05, 4
