q CP mean: 1.4284806966781616, q CP std: 0.02414591159685144
avg_len CP mean: 0.13162581324577333, avg_len CP std: 0.016860080742273152
avg_cov CP mean: 0.9483896523714066, avg_cov CP std: 0.007599011594888271
q GC mean: 1.5487414920465945, q GC std: 0.01056838762024689
avg_len GC mean: 0.14262596219778062, avg_len GC std: 0.017486830237649204
avg_cov GC mean: 0.9640179514884949, avg_cov GC std: 0.0037147971154879037
q new addtive mean: 0.0479360468685627, q new addtive std: 0.0008355571740482847
avg_len new addtive mean: 0.14397671669721604, avg_len new addtive std: 0.0018606913289642654
avg_cov new addtive mean: 0.9486008435487747, avg_cov new addtive std: 0.007545525183509943
q new div mean: 261.14828033447264, q new div std: 19.97491488503681
avg_len new div mean: 12.560938215255737, avg_len new div std: 0.9446997204860629
avg_cov new div mean: 0.9526135146617889, avg_cov new div std: 0.006743832979815445
lumbar, densenet201, 0.05, 1
