q CP mean: 1.7198359370231628, q CP std: 0.022625596751517957
avg_len CP mean: 0.2019355982542038, avg_len CP std: 0.002647106509659668
avg_cov CP mean: 0.9520327419042587, avg_cov CP std: 0.006334117214626621
q GC mean: 1.9356858159792423, q GC std: 0.020711459616669325
avg_len GC mean: 0.22727983817458153, avg_len GC std: 0.002427676973658492
avg_cov GC mean: 0.9779567092657089, avg_cov GC std: 0.0020041091536618432
q new addtive mean: 0.030736610293388367, q new addtive std: 0.0004738770481177849
avg_len new addtive mean: 0.11927361600100994, avg_len new addtive std: 0.000953857689918999
avg_cov new addtive mean: 0.9518215388059617, avg_cov new addtive std: 0.005597819308643147
q new div mean: 1.7789213955402374, q new div std: 0.03142162605242912
avg_len new div mean: 0.10282513946294784, avg_len new div std: 0.0020617576951670385
avg_cov new div mean: 0.13592924922704697, avg_cov new div std: 0.005718648017583295
lumbar, efficientnetb4, 0.05, 1
