q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726169109346, avg_len CP std: 0.0013227767308078612
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4180130707381664, q GC std: 0.005519728942675903
avg_len GC mean: 0.1839702993631363, avg_len GC std: 0.0007256121322736525
avg_cov GC mean: 0.9159714847803115, avg_cov GC std: 0.00444812474267514
q new addtive mean: 0.032328549027442935, q new addtive std: 0.0006968133006963348
avg_len new addtive mean: 0.1179065864533186, avg_len new addtive std: 0.001554744351201485
avg_cov new addtive mean: 0.9012671560049057, avg_cov new addtive std: 0.009221626777176759
q new div mean: 2.412623953819275, q new div std: 0.0831946105992216
avg_len new div mean: 0.1284921821206808, avg_len new div std: 0.005117330502658552
avg_cov new div mean: 0.8990760296583176, avg_cov new div std: 0.011237195556528363
lumbar, densenet201, 0.1, 1
