q CP mean: 1.2813512861728669, q CP std: 0.01713922383445083
avg_len CP mean: 0.1127520177513361, avg_len CP std: 0.0015052691194185647
avg_cov CP mean: 0.904310342669487, avg_cov CP std: 0.00797411000413735
q GC mean: 1.3145022487495839, q GC std: 0.008070926509206603
avg_len GC mean: 0.11566916853189468, avg_len GC std: 0.0007117428149462644
avg_cov GC mean: 0.9116632848978042, avg_cov GC std: 0.004581948083322868
q new addtive mean: 0.01293574394658208, q new addtive std: 0.0008718148999801635
avg_len new addtive mean: 0.09155760705471039, avg_len new addtive std: 0.0017944219130697696
avg_cov new addtive mean: 0.9042596310377121, avg_cov new addtive std: 0.009854469285523667
q new div mean: 1.4609181106090545, q new div std: 0.03219246301205138
avg_len new div mean: 0.09596381932497025, avg_len new div std: 0.00222551223775455
avg_cov new div mean: 0.9035750567913056, avg_cov new div std: 0.010313057067067357
lumbar, efficientnetb4, 0.1, 3
