q CP mean: 1.5597586274147033, q CP std: 0.015823660854263812
avg_len CP mean: 0.20235996544361115, avg_len CP std: 0.0020428729900384764
avg_cov CP mean: 0.9516895443201066, avg_cov CP std: 0.006110645939050828
q GC mean: 1.7553841890063284, q GC std: 0.0186737591253745
avg_len GC mean: 0.22774025574326515, avg_len GC std: 0.0024340904383327853
avg_cov GC mean: 0.977402326464653, avg_cov GC std: 0.0023957554694060083
q new addtive mean: 0.011834338307380676, q new addtive std: 0.0005665331443443806
avg_len new addtive mean: 0.09455770552158356, avg_len new addtive std: 0.0012015352937891396
avg_cov new addtive mean: 0.950290384888649, avg_cov new addtive std: 0.005725826895124777
q new div mean: 1.3103767096996308, q new div std: 0.01698887843327065
avg_len new div mean: 0.0928925819694996, avg_len new div std: 0.0014754477242527773
avg_cov new div mean: 0.1094244983047247, avg_cov new div std: 0.005422069179578832
lumbar, densenet201, 0.05, 1
