q CP mean: 0.02815861310809851, q CP std: 0.00042293917484375444
avg_len CP mean: 0.07342610433697701, avg_len CP std: 0.001115992467913656
avg_cov CP mean: 0.9002282023429871, avg_cov CP std: 0.010795975547105386
q GC mean: 0.1526109773569749, q GC std: 0.001135262153642594
avg_len GC mean: 0.3979461744427681, avg_len GC std: 0.0030166222108264696
avg_cov GC mean: 0.9997971534729004, avg_cov GC std: 0.00025488918197720615
q new addtive mean: 0.031064647436141967, q new addtive std: 0.0004651186222347356
avg_len new addtive mean: 0.07819896526634693, avg_len new addtive std: 0.000940888585271527
avg_cov new addtive mean: 0.9005831688642502, avg_cov new addtive std: 0.00886218397746285
q new div mean: 1.05950927734375, q new div std: 0.0011468740020733397
avg_len new div mean: 0.07833847552537918, avg_len new div std: 0.0012192343409535838
avg_cov new div mean: 0.9015973627567291, avg_cov new div std: 0.008963929321064873
q mu mean: 2.2574321150779726, q mu std: 0.026168273520924528
avg_len mu mean: 0.07627136111259461, avg_len mu std: 0.001260728613561353
avg_cov mu mean: 0.8986308306455613, avg_cov mu std: 0.00981359704666182
lumbar, densenet201, 0.1, 4
