q CP mean: 1.5270390331745147, q CP std: 0.021084025415583515
avg_len CP mean: 0.21866209506988527, avg_len CP std: 0.00292444218794927
avg_cov CP mean: 0.8979749977588654, avg_cov CP std: 0.007087750450002996
q GC mean: 1.4093813616283237, q GC std: 0.0077967872225142695
avg_len GC mean: 0.2018154501914978, avg_len GC std: 0.0011229165860025799
avg_cov GC mean: 0.8720750004053116, avg_cov GC std: 0.004066953112981423
q new addtive mean: 0.06004198547452688, q new addtive std: 0.0017743276232748471
avg_len new addtive mean: 0.21895327419042587, avg_len new addtive std: 0.0035377071742116917
avg_cov new addtive mean: 0.899874997138977, avg_cov new addtive std: 0.007384428762144873
q new div mean: 2.3279754757881164, q new div std: 0.04416550775112371
avg_len new div mean: 0.23016771972179412, avg_len new div std: 0.004512897702585743
avg_cov new div mean: 0.8999874979257584, avg_cov new div std: 0.007641852806433004
boneage, densenet201, 0.1, 1
