q CP mean: 1.5238564133644104, q CP std: 0.014924816799405848
avg_len CP mean: 0.1540982522070408, avg_len CP std: 0.0015084851216893048
avg_cov CP mean: 0.9035243391990662, avg_cov CP std: 0.008515458001381981
q GC mean: 1.5922478997167944, q GC std: 0.02370838750398925
avg_len GC mean: 0.16101427748799324, avg_len GC std: 0.0023979317475426097
avg_cov GC mean: 0.9195233255624771, avg_cov GC std: 0.008306629843612618
q new addtive mean: 0.012226044666022062, q new addtive std: 0.0003567848491359912
avg_len new addtive mean: 0.07813843376934529, avg_len new addtive std: 0.0006959412912154873
avg_cov new addtive mean: 0.9003803223371506, avg_cov new addtive std: 0.010016397423522262
q new div mean: 1.3494142234325408, q new div std: 0.01375594169363704
avg_len new div mean: 0.07244628928601742, avg_len new div std: 0.000985508253080806
avg_cov new div mean: 0.15933062881231308, avg_cov new div std: 0.006246742776304619
lumbar, densenet201, 0.1, 4
