q CP mean: 1.7198359370231628, q CP std: 0.022625596751517957
avg_len CP mean: 0.2019355997443199, avg_len CP std: 0.0026471047933657155
avg_cov CP mean: 0.9520327419042587, avg_cov CP std: 0.006334117214626621
q GC mean: 1.7745737809803486, q GC std: 0.006919834650498487
avg_len GC mean: 0.20836278572678565, avg_len GC std: 0.0008102847256528735
avg_cov GC mean: 0.9595564931631089, avg_cov GC std: 0.002924175801981974
q new addtive mean: 0.06284074131399393, q new addtive std: 0.001977664507562833
avg_len new addtive mean: 0.18155228421092034, avg_len new addtive std: 0.004291778187096509
avg_cov new addtive mean: 0.9506335824728012, avg_cov new addtive std: 0.008799071597789311
q new div mean: 381607491.971875, q new div std: 1231168176.9994078
avg_len new div mean: 21328550.841308594, avg_len new div std: 68818585.96913776
avg_cov new div mean: 0.948600846529007, avg_cov new div std: 0.007483054224105916
lumbar, efficientnetb4, 0.05, 1
