q CP mean: 1.7198359370231628, q CP std: 0.022625596751517957
avg_len CP mean: 0.2019355997443199, avg_len CP std: 0.0026471047933657155
avg_cov CP mean: 0.9520327419042587, avg_cov CP std: 0.006334117214626621
q GC mean: 1.7745737809803486, q GC std: 0.006919834650498487
avg_len GC mean: 0.20836278572678565, avg_len GC std: 0.0008102847256528735
avg_cov GC mean: 0.9595564931631089, avg_cov GC std: 0.002924175801981974
q new addtive mean: 0.03181590158492327, q new addtive std: 0.0006068175323886256
avg_len new addtive mean: 0.11910829953849315, avg_len new addtive std: 0.0014376820589080345
avg_cov new addtive mean: 0.9520327299833298, avg_cov new addtive std: 0.005718136567010922
q new div mean: 2.049774569272995, q new div std: 0.04866935905645368
avg_len new div mean: 0.11372029595077038, avg_len new div std: 0.0030689806681547444
avg_cov new div mean: 0.9508183687925339, avg_cov new div std: 0.005786997679688254
lumbar, efficientnetb4, 0.05, 1
