q CP mean: 1.0254195153713226, q CP std: 0.029423909894762772
avg_len CP mean: 0.06418113764375448, avg_len CP std: 0.001838128759110079
avg_cov CP mean: 0.9496624946594239, avg_cov CP std: 0.008627247481766099
q GC mean: 1.2962451475120782, q GC std: 0.010329800420368108
avg_len GC mean: 0.08113222308456898, avg_len GC std: 0.0006412900945375507
avg_cov GC mean: 0.9845500022172928, avg_cov GC std: 0.001692862036556395
q new addtive mean: 0.006575329741463065, q new addtive std: 0.0005052526303662749
avg_len new addtive mean: 0.07354905866086484, avg_len new addtive std: 0.0010888902497532623
avg_cov new addtive mean: 0.9511999964714051, avg_cov new addtive std: 0.005488984469893989
q new div mean: 1.607785028219223, q new div std: 0.15525715398082657
avg_len new div mean: 0.09712144620716572, avg_len new div std: 0.009538319171738325
avg_cov new div mean: 0.9507249981164932, avg_cov new div std: 0.007892744660706223
boneage, efficientnetb4, 0.05, 5
