q CP mean: 1.918655264377594, q CP std: 0.0308719101656672
avg_len CP mean: 0.2747404918074608, avg_len CP std: 0.004413700924344151
avg_cov CP mean: 0.9504374980926513, avg_cov CP std: 0.004906272657970912
q GC mean: 1.6793817634052037, q GC std: 0.009290446596734675
avg_len GC mean: 0.24047797918319702, avg_len GC std: 0.001338041577181204
avg_cov GC mean: 0.9222750008106232, avg_cov GC std: 0.0027300653551491577
q new addtive mean: 0.10707725659012794, q new addtive std: 0.001908731939862497
avg_len new addtive mean: 0.2598339065909386, avg_len new addtive std: 0.0038129605849341022
avg_cov new addtive mean: 0.9510500013828278, avg_cov new addtive std: 0.005936386896157317
q new div mean: 5.798056173324585, q new div std: 0.10243342056715259
avg_len new div mean: 0.26485124230384827, avg_len new div std: 0.004661816432849595
avg_cov new div mean: 0.9501625001430511, avg_cov new div std: 0.005656430277716687
boneage, densenet201, 0.05, 1
