q CP mean: 1.5159935534000397, q CP std: 0.012722884820811457
avg_len CP mean: 0.17800139784812927, avg_len CP std: 0.0014907782408171836
avg_cov CP mean: 0.901610353589058, avg_cov CP std: 0.008078902125125678
q GC mean: 1.4892690073499084, q GC std: 0.005807307304675828
avg_len GC mean: 0.17486353665590287, avg_len GC std: 0.0006800169654224019
avg_cov GC mean: 0.8926082372665405, avg_cov GC std: 0.005171457178415723
q new addtive mean: 0.02456088438630104, q new addtive std: 0.0003503953532053682
avg_len new addtive mean: 0.10466869808733463, avg_len new addtive std: 0.0008976179027853736
avg_cov new addtive mean: 0.9018215388059616, avg_cov new addtive std: 0.006622198500610491
q new div mean: 1.8011238873004913, q new div std: 0.053600479503065665
avg_len new div mean: 0.10005675740540028, avg_len new div std: 0.003398131575970827
avg_cov new div mean: 0.9014783531427384, avg_cov new div std: 0.009536680789822647
lumbar, efficientnetb4, 0.1, 1
