q CP mean: 1.6619369208812713, q CP std: 0.0264373394922634
avg_len CP mean: 0.06928876973688602, avg_len CP std: 0.0011008652837073858
avg_cov CP mean: 0.9490124940872192, avg_cov CP std: 0.005310402884649523
q GC mean: 1.5890571994879246, q GC std: 0.01063408639886272
avg_len GC mean: 0.06625018753111363, avg_len GC std: 0.00042229876884327587
avg_cov GC mean: 0.9398749977350235, avg_cov GC std: 0.003139833819694985
q new addtive mean: 0.02055984139442444, q new addtive std: 0.0006311468753428299
avg_len new addtive mean: 0.11366761624813079, avg_len new addtive std: 0.001303566521529245
avg_cov new addtive mean: 0.9488499999046326, avg_cov new addtive std: 0.00521852119949508
q new div mean: 3.2347161293029787, q new div std: 0.1900573389281226
avg_len new div mean: 0.23468066081404687, avg_len new div std: 0.013948546851413722
avg_cov new div mean: 0.9495875030755997, avg_cov new div std: 0.006067753711042137
boneage, densenet201, 0.05, 5
