q CP mean: 1.7198359370231628, q CP std: 0.022625596751517957
avg_len CP mean: 0.2019355997443199, avg_len CP std: 0.0026471047933657155
avg_cov CP mean: 0.9520327419042587, avg_cov CP std: 0.006334117214626621
q GC mean: 1.7745737809803486, q GC std: 0.006919834650498487
avg_len GC mean: 0.20836278572678565, avg_len GC std: 0.0008102847256528735
avg_cov GC mean: 0.9595564931631089, avg_cov GC std: 0.002924175801981974
q new addtive mean: 0.031325640715658666, q new addtive std: 0.0006216413970302195
avg_len new addtive mean: 0.11819821372628211, avg_len new addtive std: 0.0013656156893297878
avg_cov new addtive mean: 0.9499208033084869, avg_cov new addtive std: 0.006668126922046013
q new div mean: 4.103656268119812, q new div std: 0.43012063772314924
avg_len new div mean: 0.22803354263305664, avg_len new div std: 0.024854391995800324
avg_cov new div mean: 0.9520591408014297, avg_cov new div std: 0.0062250615805161235
lumbar, efficientnetb4, 0.05, 1
