q CP mean: 2.1296292424201964, q CP std: 0.04712735325028116
avg_len CP mean: 0.07196621038019657, avg_len CP std: 0.001445545536573885
avg_cov CP mean: 0.9530980229377747, avg_cov CP std: 0.0058100014145085
q GC mean: 1.853684023866892, q GC std: 0.013214769637029299
avg_len GC mean: 0.06264420300722122, avg_len GC std: 0.0005067897296912728
avg_cov GC mean: 0.923996952176094, avg_cov GC std: 0.005296639428103641
q new addtive mean: 0.03537957929074764, q new addtive std: 0.0008640254960396267
avg_len new addtive mean: 0.08243529647588729, avg_len new addtive std: 0.0016837372613482209
avg_cov new addtive mean: 0.9503809034824371, avg_cov new addtive std: 0.008020179528888272
q new div mean: 1138128.8917385102, q new div std: 3268432.5932975453
avg_len new div mean: 0.8874222695827484, avg_len new div std: 0.11628187445771548
avg_cov new div mean: 0.9491112202405929, avg_cov new div std: 0.00705769839229423
lumbar, efficientnetb4, 0.05, 5
