q CP mean: 1.8028449535369873, q CP std: 0.03642722555926025
avg_len CP mean: 0.15152515098452568, avg_len CP std: 0.003053186413758261
avg_cov CP mean: 0.949715468287468, avg_cov CP std: 0.008161783242312516
q GC mean: 1.710782641498804, q GC std: 0.011728359172366757
avg_len GC mean: 0.1437876671552658, avg_len GC std: 0.000983820421410117
avg_cov GC mean: 0.937428867816925, avg_cov GC std: 0.005973165951022189
q new addtive mean: 0.01844907822087407, q new addtive std: 0.0007869531606163058
avg_len new addtive mean: 0.08475916013121605, avg_len new addtive std: 0.0017378457420930305
avg_cov new addtive mean: 0.949249866604805, avg_cov new addtive std: 0.007595574469757287
q new div mean: 2.0287129998207094, q new div std: 0.059883664031358176
avg_len new div mean: 0.09710068106651307, avg_len new div std: 0.0031273072265712723
avg_cov new div mean: 0.9506725281476974, avg_cov new div std: 0.0064533266379546515
lumbar, densenet201, 0.05, 2
