q CP mean: 0.9938943594694137, q CP std: 0.01431166539141035
avg_len CP mean: 0.11084363795816898, avg_len CP std: 0.0016371673239501637
avg_cov CP mean: 0.8999492049217224, avg_cov CP std: 0.010052655742768138
q GC mean: 1.1497512643305958, q GC std: 0.00792599176660868
avg_len GC mean: 0.1282253958284855, avg_len GC std: 0.000960828873223216
avg_cov GC mean: 0.9480700939893723, avg_cov GC std: 0.005484513374724009
q new addtive mean: 0.04057112131267786, q new addtive std: 0.0006782087576278331
avg_len new addtive mean: 0.1117777444422245, avg_len new addtive std: 0.001366719683231836
avg_cov new addtive mean: 0.9012696832418442, avg_cov new addtive std: 0.009915860745121984
q new div mean: 6.3639379978179935, q new div std: 0.1741191661519627
avg_len new div mean: 0.19073684960603715, avg_len new div std: 0.005675873516949162
avg_cov new div mean: 0.900837990641594, avg_cov new div std: 0.00813577059677053
lumbar, densenet201, 0.1, 5
