q CP mean: 1.1622938513755798, q CP std: 0.022867987785642224
avg_len CP mean: 0.12962321564555168, avg_len CP std: 0.002542949506433268
avg_cov CP mean: 0.9495175153017044, avg_cov CP std: 0.008020686794273762
q GC mean: 1.3700133678070308, q GC std: 0.009444403333363095
avg_len GC mean: 0.1527798891067505, avg_len GC std: 0.0011408488461543626
avg_cov GC mean: 0.974911117553711, avg_cov GC std: 0.002999632690658942
q new addtive mean: 0.05192253738641739, q new addtive std: 0.0010270941096231386
avg_len new addtive mean: 0.13448057919740677, avg_len new addtive std: 0.002093302994582885
avg_cov new addtive mean: 0.9499746143817902, avg_cov new addtive std: 0.006872336418677533
q new div mean: 12.178506851196289, q new div std: 1.1266456646954701
avg_len new div mean: 0.34077715426683425, avg_len new div std: 0.026833208078944373
avg_cov new div mean: 0.9495429188013077, avg_cov new div std: 0.006238167114047362
lumbar, densenet201, 0.05, 5
