q CP mean: 1.7198359370231628, q CP std: 0.022625596751517957
avg_len CP mean: 0.2019355982542038, avg_len CP std: 0.002647106509659668
avg_cov CP mean: 0.9520327419042587, avg_cov CP std: 0.006334117214626621
q GC mean: 1.9356858159792423, q GC std: 0.020711459616669325
avg_len GC mean: 0.22727983817458153, avg_len GC std: 0.002427676973658492
avg_cov GC mean: 0.9779567092657089, avg_cov GC std: 0.0020041091536618432
q new addtive mean: 0.03181590158492327, q new addtive std: 0.0006068175323886256
avg_len new addtive mean: 0.11910827904939651, avg_len new addtive std: 0.001437660115929865
avg_cov new addtive mean: 0.9520327299833298, avg_cov new addtive std: 0.005718136567010922
q new div mean: 2.049774569272995, q new div std: 0.04866935905645368
avg_len new div mean: 0.11372030302882194, avg_len new div std: 0.0030689731186500937
avg_cov new div mean: 0.12431362271308899, avg_cov new div std: 0.00509737365083814
lumbar, efficientnetb4, 0.05, 1
