q CP mean: 0.04404348749667406, q CP std: 0.0007597821086501831
avg_len CP mean: 0.11253220848739147, avg_len CP std: 0.0019441113269836657
avg_cov CP mean: 0.8991125792264938, avg_cov CP std: 0.010374819026187913
q GC mean: 0.19118304307112777, q GC std: 0.0019868051021322995
avg_len GC mean: 0.4884118095040321, avg_len GC std: 0.005196778401469886
avg_cov GC mean: 0.9982505112886428, avg_cov GC std: 0.0006472249588118592
q new addtive mean: 0.05008061230182648, q new addtive std: 0.0007804018077853802
avg_len new addtive mean: 0.12052019126713276, avg_len new addtive std: 0.0014760097792979533
avg_cov new addtive mean: 0.89974644780159, avg_cov new addtive std: 0.008223116897727716
q new div mean: 1.1005808353424071, q new div std: 0.0017166314981615885
avg_len new div mean: 0.11654173843562603, avg_len new div std: 0.0015154946504670902
avg_cov new div mean: 0.9001774758100509, avg_cov new div std: 0.007928449433133039
q mu mean: 2.5248902797698975, q mu std: 0.02950119425295808
avg_len mu mean: 0.12158403880894184, avg_len mu std: 0.001954782232447125
avg_cov mu mean: 0.8925709873437881, avg_cov mu std: 0.007173872337268821
lumbar, densenet201, 0.1, 3
