q CP mean: 1.5597586274147033, q CP std: 0.015823660854263812
avg_len CP mean: 0.20235996544361115, avg_len CP std: 0.0020428726929422993
avg_cov CP mean: 0.9516895443201066, avg_cov CP std: 0.006110645939050828
q GC mean: 1.6896670809642076, q GC std: 0.006577163837728101
avg_len GC mean: 0.21921417117118835, avg_len GC std: 0.0008646260040415548
avg_cov GC mean: 0.9713833123445511, avg_cov GC std: 0.0022764235767673306
q new addtive mean: 0.04491689819842577, q new addtive std: 0.001050240625946395
avg_len new addtive mean: 0.14308328479528426, avg_len new addtive std: 0.002223042806272381
avg_cov new addtive mean: 0.9506071776151657, avg_cov new addtive std: 0.006606677721840983
q new div mean: 3.9486273646354677, q new div std: 0.2835935653617408
avg_len new div mean: 0.21033093631267546, avg_len new div std: 0.01614577270042639
avg_cov new div mean: 0.9491816282272338, avg_cov new div std: 0.008232892721795648
lumbar, densenet201, 0.05, 1
