q CP mean: 1.0041061878204345, q CP std: 0.015523730111260495
avg_len CP mean: 0.12677790746092796, avg_len CP std: 0.0019700539394566082
avg_cov CP mean: 0.9041328579187393, avg_cov CP std: 0.011328909666876818
q GC mean: 1.044717370264083, q GC std: 0.022631389357355206
avg_len GC mean: 0.1319051407277584, avg_len GC std: 0.002849732111189992
avg_cov GC mean: 0.9179006099700928, avg_cov GC std: 0.01063178195280469
q new addtive mean: 0.009450653148815037, q new addtive std: 0.0004615637764528287
avg_len new addtive mean: 0.10039066635072232, avg_len new addtive std: 0.0009541228810000802
avg_cov new addtive mean: 0.9031186580657959, avg_cov new addtive std: 0.005919415136560076
q new div mean: 1.3800981223583222, q new div std: 0.02668995717458605
avg_len new div mean: 0.11246627792716027, avg_len new div std: 0.0023664066316874885
avg_cov new div mean: 0.46163793206214904, avg_cov new div std: 0.008302022217071143
lumbar, densenet201, 0.1, 3
