q CP mean: 0.926573646068573, q CP std: 0.014739731639040217
avg_len CP mean: 0.13118396773934365, avg_len CP std: 0.0020852350519165873
avg_cov CP mean: 0.8994568049907684, avg_cov CP std: 0.01079993113077819
q GC mean: 0.9407964685377478, q GC std: 0.011532794411553065
avg_len GC mean: 0.13319774046540261, avg_len GC std: 0.0016397042055828776
avg_cov GC mean: 0.9050439685583115, avg_cov GC std: 0.009614817408940577
q new addtive mean: 0.017791819013655185, q new addtive std: 0.0006697251474522924
avg_len new addtive mean: 0.09021848328411579, avg_len new addtive std: 0.0013413364935233104
avg_cov new addtive mean: 0.898370411992073, avg_cov new addtive std: 0.012196717202899393
q new div mean: 2.011005198955536, q new div std: 0.0564591706371364
avg_len new div mean: 0.10987258851528167, avg_len new div std: 0.003195629473056075
avg_cov new div mean: 0.3944904297590256, avg_cov new div std: 0.008441537638431949
lumbar, efficientnetb4, 0.1, 2
