q CP mean: 1.5597586274147033, q CP std: 0.015823660854263812
avg_len CP mean: 0.20235996544361115, avg_len CP std: 0.0020428726929422993
avg_cov CP mean: 0.9516895443201066, avg_cov CP std: 0.006110645939050828
q GC mean: 1.6896670809642076, q GC std: 0.006577163837728101
avg_len GC mean: 0.21921417117118835, avg_len GC std: 0.0008646260040415548
avg_cov GC mean: 0.9713833123445511, avg_cov GC std: 0.0022764235767673306
q new addtive mean: 0.04839519076049328, q new addtive std: 0.0020819883656436446
avg_len new addtive mean: 0.14624433666467668, avg_len new addtive std: 0.004258522162010582
avg_cov new addtive mean: 0.9504751831293106, avg_cov new addtive std: 0.005523209151608274
q new div mean: 2.3331364218036784e+33, q new div std: 9.033383338577329e+33
avg_len new div mean: 1.1476426480558893e+32, avg_len new div std: 4.4348085625673964e+32
avg_cov new div mean: 0.95131995677948, avg_cov new div std: 0.006600294728869145
lumbar, densenet201, 0.05, 1
