q CP mean: 1.7748484849929809, q CP std: 0.025409135588684975
avg_len CP mean: 0.17947950959205627, avg_len CP std: 0.0025661195843434243
avg_cov CP mean: 0.9511916875839234, avg_cov CP std: 0.007263120527172139
q GC mean: 1.730006234725356, q GC std: 0.01025304009694264
avg_len GC mean: 0.17494494393467902, avg_len GC std: 0.0010395802047796325
avg_cov GC mean: 0.9447008103132248, avg_cov GC std: 0.00482894981572985
q new addtive mean: 0.01833054153248668, q new addtive std: 0.0006072498751196803
avg_len new addtive mean: 0.09034741558134556, avg_len new addtive std: 0.0011356337062870818
avg_cov new addtive mean: 0.9488336741924286, avg_cov new addtive std: 0.007059053006590483
q new div mean: 1.615814560651779, q new div std: 0.036747427132069965
avg_len new div mean: 0.08674635961651803, avg_len new div std: 0.0020256300128863587
avg_cov new div mean: 0.9506338745355606, avg_cov new div std: 0.005900625936500402
lumbar, densenet201, 0.05, 4
