q CP mean: 1.5406447887420653, q CP std: 0.024493931873445018
avg_len CP mean: 0.13556849509477614, avg_len CP std: 0.002155479237147304
avg_cov CP mean: 0.9538032382726669, avg_cov CP std: 0.006917666078590589
q GC mean: 1.6091631956033707, q GC std: 0.04325223704941995
avg_len GC mean: 0.14159748926758767, avg_len GC std: 0.00379604579994185
avg_cov GC mean: 0.9615872204303741, avg_cov GC std: 0.007106773157389719
q new addtive mean: 0.02304083164781332, q new addtive std: 0.0010317549301015869
avg_len new addtive mean: 0.11176778972148896, avg_len new addtive std: 0.0021510482625381544
avg_cov new addtive mean: 0.9521551817655564, avg_cov new addtive std: 0.00685947132457997
q new div mean: 1.8498310148715973, q new div std: 0.03343101858471818
avg_len new div mean: 0.12151177413761616, avg_len new div std: 0.0024365855441386424
avg_cov new div mean: 0.7056034505367279, avg_cov new div std: 0.008027180196406625
lumbar, efficientnetb4, 0.05, 3
