q CP mean: 0.02812328077852726, q CP std: 0.0003998111328367747
avg_len CP mean: 0.07049647606909275, avg_len CP std: 0.0010092281669281306
avg_cov CP mean: 0.8997624069452286, avg_cov CP std: 0.010939478548230042
q GC mean: 0.15213543557265807, q GC std: 0.0012602138577853129
avg_len GC mean: 0.3813566565513611, avg_len GC std: 0.0031701279549691975
avg_cov GC mean: 0.9992872297763824, avg_cov GC std: 0.0004620303198153255
q new addtive mean: 0.030886422097682952, q new addtive std: 0.0006327051106083789
avg_len new addtive mean: 0.07401432022452355, avg_len new addtive std: 0.0012718414080883224
avg_cov new addtive mean: 0.9031414985656738, avg_cov new addtive std: 0.011812865900913435
q new div mean: 1.0632429420948029, q new div std: 0.001012090957852647
avg_len new div mean: 0.06836667098104954, avg_len new div std: 0.00091776280355619
avg_cov new div mean: 0.9018479377031327, avg_cov new div std: 0.012600644927817043
q mu mean: 2.2812867760658264, q mu std: 0.02034555221740549
avg_len mu mean: 0.061842113919556144, avg_len mu std: 0.0008109215270009014
avg_cov mu mean: 0.8968321025371552, avg_cov mu std: 0.009758712209340383
lumbar, efficientnetb4, 0.1, 1
