q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726169109346, avg_len CP std: 0.0013227767308078612
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4180130707381664, q GC std: 0.005519728942675903
avg_len GC mean: 0.1839702993631363, avg_len GC std: 0.0007256121322736525
avg_cov GC mean: 0.9159714847803115, avg_cov GC std: 0.00444812474267514
q new addtive mean: 0.031577139906585214, q new addtive std: 0.000879861026527417
avg_len new addtive mean: 0.11260823309421539, avg_len new addtive std: 0.0019211668157136025
avg_cov new addtive mean: 0.9044614613056183, avg_cov new addtive std: 0.009103897035656856
q new div mean: 2.806740975379944, q new div std: 0.3743657292416636
avg_len new div mean: 0.13884066082537175, avg_len new div std: 0.018839580088484794
avg_cov new div mean: 0.9018743395805359, avg_cov new div std: 0.008474223518836475
lumbar, densenet201, 0.1, 1
