q CP mean: 0.8586627334356308, q CP std: 0.009462253787011727
avg_len CP mean: 0.22497256174683572, avg_len CP std: 0.0025020856645871672
avg_cov CP mean: 0.9033265620470047, avg_cov CP std: 0.008928748442854175
q GC mean: 1.139194222150892, q GC std: 0.004725521141975314
avg_len GC mean: 0.2984726920723915, avg_len GC std: 0.001298113108930288
avg_cov GC mean: 0.9861604869365692, avg_cov GC std: 0.002003726545538377
q new addtive mean: 0.016077812295407057, q new addtive std: 0.00041962943502612323
avg_len new addtive mean: 0.10543554797768592, avg_len new addtive std: 0.0011522746735411972
avg_cov new addtive mean: 0.9, avg_cov new addtive std: 0.009129667541494194
q new div mean: 1.3939185082912444, q new div std: 0.01583769448526305
avg_len new div mean: 0.10214939266443253, avg_len new div std: 0.0015666512292343627
avg_cov new div mean: 0.9002285480499268, avg_cov new div std: 0.009198648050857497
lumbar, efficientnetb4, 0.1, 5
