q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726467132568, avg_len CP std: 0.0013227744199523998
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4731645968729257, q GC std: 0.015671509978454783
avg_len GC mean: 0.19112561643123627, avg_len GC std: 0.002042757611041477
avg_cov GC mean: 0.9315469890832901, avg_cov GC std: 0.006095682862613871
q new addtive mean: 0.009285434335470199, q new addtive std: 0.00044477313671876915
avg_len new addtive mean: 0.09276825301349163, avg_len new addtive std: 0.0012214466431692311
avg_cov new addtive mean: 0.9022175312042237, avg_cov new addtive std: 0.009555422802822873
q new div mean: 1.1708733201026917, q new div std: 0.009249489179931571
avg_len new div mean: 0.08687851689755917, avg_len new div std: 0.0012070034124288668
avg_cov new div mean: 0.12220168970525265, avg_cov new div std: 0.005769733916561037
lumbar, densenet201, 0.1, 1
