q CP mean: 1.5370002031326293, q CP std: 0.0179807120530396
avg_len CP mean: 0.2035514585673809, avg_len CP std: 0.002384649031869699
avg_cov CP mean: 0.9507919758558273, avg_cov CP std: 0.0063163169570857915
q GC mean: 1.6707815610058308, q GC std: 0.009323145687663714
avg_len GC mean: 0.22126865833997728, avg_len GC std: 0.001236842229274055
avg_cov GC mean: 0.9726768672466278, avg_cov GC std: 0.003063722420246466
q new addtive mean: 0.03678993117064237, q new addtive std: 0.0010547937496695667
avg_len new addtive mean: 0.17386519610881807, avg_len new addtive std: 0.0026343524737514534
avg_cov new addtive mean: 0.9500263929367065, avg_cov new addtive std: 0.007745115851997931
q new div mean: 3.181638717651367, q new div std: 0.6974206164257034
avg_len new div mean: 0.31936206966638564, avg_len new div std: 0.07140489356074076
avg_cov new div mean: 0.9497624129056931, avg_cov new div std: 0.006419249799316243
lumbar, densenet201, 0.05, 1
