q CP mean: 1.5238564133644104, q CP std: 0.014924816799405848
avg_len CP mean: 0.15409825071692468, avg_len CP std: 0.001508487388144568
avg_cov CP mean: 0.9035243391990662, avg_cov CP std: 0.008515458001381981
q GC mean: 1.4518667499275504, q GC std: 0.008604621014437049
avg_len GC mean: 0.14681840389966966, avg_len GC std: 0.0008724419775265577
avg_cov GC mean: 0.8854716002941132, avg_cov GC std: 0.006414931604021299
q new addtive mean: 0.018553688935935498, q new addtive std: 0.0005845083050560574
avg_len new addtive mean: 0.13393434658646583, avg_len new addtive std: 0.0013147262375513011
avg_cov new addtive mean: 0.899061867594719, avg_cov new addtive std: 0.0072343691940026985
q new div mean: 1.4880915820598601, q new div std: 0.015022692096179575
avg_len new div mean: 0.14408851638436318, avg_len new div std: 0.002029529949147874
avg_cov new div mean: 0.8987068921327591, avg_cov new div std: 0.005456363688345947
lumbar, densenet201, 0.1, 4
