q CP mean: 1.1722471058368682, q CP std: 0.011139130602598935
avg_len CP mean: 0.15593303814530374, avg_len CP std: 0.0014948795019954415
avg_cov CP mean: 0.9038032442331314, avg_cov CP std: 0.009232613817520953
q GC mean: 1.2712210150684415, q GC std: 0.0076045333432607784
avg_len GC mean: 0.1690985731780529, avg_len GC std: 0.0010277541581370658
avg_cov GC mean: 0.9352180510759354, avg_cov GC std: 0.005168474367942938
q new addtive mean: 0.023834412917494774, q new addtive std: 0.00045970864755148885
avg_len new addtive mean: 0.13153696283698083, avg_len new addtive std: 0.0011181786558284734
avg_cov new addtive mean: 0.8986815422773361, avg_cov new addtive std: 0.009807666475571665
q new div mean: 1.7571418344974519, q new div std: 0.014838030385881548
avg_len new div mean: 0.14737011566758157, avg_len new div std: 0.0020329461266946273
avg_cov new div mean: 0.8977434039115906, avg_cov new div std: 0.007575779202665089
lumbar, efficientnetb4, 0.1, 4
