q CP mean: 1.5597586274147033, q CP std: 0.015823660854263812
avg_len CP mean: 0.20235996544361115, avg_len CP std: 0.0020428726929422993
avg_cov CP mean: 0.9516895443201066, avg_cov CP std: 0.006110645939050828
q GC mean: 1.6896670809642076, q GC std: 0.006577163837728101
avg_len GC mean: 0.21921417117118835, avg_len GC std: 0.0008646260040415548
avg_cov GC mean: 0.9713833123445511, avg_cov GC std: 0.0022764235767673306
q new addtive mean: 0.03460914585739374, q new addtive std: 0.0013834252088324405
avg_len new addtive mean: 0.1973257377743721, avg_len new addtive std: 0.0029655933508561947
avg_cov new addtive mean: 0.950633579492569, avg_cov new addtive std: 0.007218027637107478
q new div mean: 1.8137959778308868, q new div std: 0.11612119744900497
avg_len new div mean: 0.2324162930250168, avg_len new div std: 0.015815465317748644
avg_cov new div mean: 0.9507391840219498, avg_cov new div std: 0.008527418136286592
lumbar, densenet201, 0.05, 1
