q CP mean: 1.6592111110687255, q CP std: 0.016489617186789082
avg_len CP mean: 0.2506046794354916, avg_len CP std: 0.002491734989990212
avg_cov CP mean: 0.9512696832418441, avg_cov CP std: 0.007331069691221326
q GC mean: 1.7834303975669146, q GC std: 0.007229781252096111
avg_len GC mean: 0.26936668902635574, avg_len GC std: 0.0011245405022492745
avg_cov GC mean: 0.9703656762838364, avg_cov GC std: 0.00308827141022935
q new addtive mean: 0.04663317259401083, q new addtive std: 0.0008001089660898319
avg_len new addtive mean: 0.20974865779280663, avg_len new addtive std: 0.0020859525618438703
avg_cov new addtive mean: 0.9508379876613617, avg_cov new addtive std: 0.005985680072307019
q new div mean: 2.0134464681148527, q new div std: 0.028035128606844626
avg_len new div mean: 0.23454367220401764, avg_len new div std: 0.004473511676014307
avg_cov new div mean: 0.949669885635376, avg_cov new div std: 0.005771607475542813
lumbar, densenet201, 0.05, 5
