q CP mean: 1.4801982939243317, q CP std: 0.01384948173540066
avg_len CP mean: 0.22356686368584633, avg_len CP std: 0.0020925231918873396
avg_cov CP mean: 0.902386999130249, avg_cov CP std: 0.008785174856174235
q GC mean: 1.4967017130134999, q GC std: 0.00606742264766135
avg_len GC mean: 0.22605960816144943, avg_len GC std: 0.0009437451070946969
avg_cov GC mean: 0.9071609973907471, avg_cov GC std: 0.004961354348221661
q new addtive mean: 0.03623242527246475, q new addtive std: 0.00078376066489134
avg_len new addtive mean: 0.18894716128706932, avg_len new addtive std: 0.0021107489438367097
avg_cov new addtive mean: 0.9024631828069687, avg_cov new addtive std: 0.009915972172986834
q new div mean: 1.7225679755210876, q new div std: 0.014266105191438831
avg_len new div mean: 0.20065445601940154, avg_len new div std: 0.0027387289428496384
avg_cov new div mean: 0.9011934995651245, avg_cov new div std: 0.0077487840076975005
lumbar, densenet201, 0.1, 5
