q CP mean: 1.7748484849929809, q CP std: 0.025409135588684975
avg_len CP mean: 0.17947950959205627, avg_len CP std: 0.0025661195843434243
avg_cov CP mean: 0.9511916875839234, avg_cov CP std: 0.007263120527172139
q GC mean: 1.730006234725356, q GC std: 0.01025304009694264
avg_len GC mean: 0.17494494393467902, avg_len GC std: 0.0010395802047796325
avg_cov GC mean: 0.9447008103132248, avg_cov GC std: 0.00482894981572985
q new addtive mean: 0.02733430713415146, q new addtive std: 0.0006500190678815251
avg_len new addtive mean: 0.15149558559060097, avg_len new addtive std: 0.0013837492754601422
avg_cov new addtive mean: 0.9508620738983155, avg_cov new addtive std: 0.00544400985569679
q new div mean: 1.7899159014225006, q new div std: 0.02987765493341259
avg_len new div mean: 0.17332269102334977, avg_len new div std: 0.003824281759632307
avg_cov new div mean: 0.9506845861673355, avg_cov new div std: 0.006403535147694262
lumbar, densenet201, 0.05, 4
