q CP mean: 1.8028449535369873, q CP std: 0.03642722555926025
avg_len CP mean: 0.15152515098452568, avg_len CP std: 0.003053186413758261
avg_cov CP mean: 0.949715468287468, avg_cov CP std: 0.008161783242312516
q GC mean: 1.710782641498804, q GC std: 0.011728359172366757
avg_len GC mean: 0.1437876671552658, avg_len GC std: 0.000983820421410117
avg_cov GC mean: 0.937428867816925, avg_cov GC std: 0.005973165951022189
q new addtive mean: 0.040059682354331015, q new addtive std: 0.0014793546832444575
avg_len new addtive mean: 0.14199169501662254, avg_len new addtive std: 0.003132846789112646
avg_cov new addtive mean: 0.9494309365749359, avg_cov new addtive std: 0.009594870952123372
q new div mean: 5.320087862014771, q new div std: 2.004212866854398
avg_len new div mean: 0.32947634905576706, avg_len new div std: 0.12511844463185554
avg_cov new div mean: 0.9491205304861069, avg_cov new div std: 0.006604355948029142
lumbar, densenet201, 0.05, 2
