q CP mean: 1.356873482465744, q CP std: 0.017573251451725044
avg_len CP mean: 0.1804921306669712, avg_len CP std: 0.0023468966900914694
avg_cov CP mean: 0.9510649114847183, avg_cov CP std: 0.007404524847793261
q GC mean: 1.5147535280989408, q GC std: 0.009061361930545285
avg_len GC mean: 0.20149340704083443, avg_len GC std: 0.0012246522191973546
avg_cov GC mean: 0.9723123759031296, avg_cov GC std: 0.0026189893824574667
q new addtive mean: 0.03159780651330948, q new addtive std: 0.0007005829769376193
avg_len new addtive mean: 0.1470637544989586, avg_len new addtive std: 0.001382659858589538
avg_cov new addtive mean: 0.9507606476545334, avg_cov new addtive std: 0.007377794455193264
q new div mean: 2.056616997718811, q new div std: 0.022530658538695847
avg_len new div mean: 0.1724882610142231, avg_len new div std: 0.002756316571741832
avg_cov new div mean: 0.9475405752658844, avg_cov new div std: 0.006792458634834703
lumbar, efficientnetb4, 0.05, 4
