q CP mean: 1.0041061878204345, q CP std: 0.015523730111260495
avg_len CP mean: 0.12677790746092796, avg_len CP std: 0.001970053121740099
avg_cov CP mean: 0.9041328579187393, avg_cov CP std: 0.011328909666876818
q GC mean: 1.1645960429924727, q GC std: 0.007138262181411157
avg_len GC mean: 0.1470411092042923, avg_len GC std: 0.0009026545557957275
avg_cov GC mean: 0.9499239355325699, avg_cov GC std: 0.005054614162464689
q new addtive mean: 0.050450292974710466, q new addtive std: 0.00075481450201719
avg_len new addtive mean: 0.13888524025678634, avg_len new addtive std: 0.0018760201508721355
avg_cov new addtive mean: 0.9051724135875702, avg_cov new addtive std: 0.008949600762938919
q new div mean: inf, q new div std: nan
avg_len new div mean: nan, avg_len new div std: nan
avg_cov new div mean: 0.622464507818222, avg_cov new div std: 0.008513263410886106
lumbar, densenet201, 0.1, 3
