q CP mean: 1.5384325087070465, q CP std: 0.0167041173457727
avg_len CP mean: 0.12930206656455995, avg_len CP std: 0.001408725703153185
avg_cov CP mean: 0.9007242619991302, avg_cov CP std: 0.008139841436804789
q GC mean: 1.435733804704845, q GC std: 0.009842747599271146
avg_len GC mean: 0.12067039720714093, avg_len GC std: 0.0008256506819820637
avg_cov GC mean: 0.8745473325252533, avg_cov GC std: 0.006227225617581845
q new addtive mean: 0.030408534687012434, q new addtive std: 0.000651720253961079
avg_len new addtive mean: 0.12268940955400467, avg_len new addtive std: 0.001513140818644703
avg_cov new addtive mean: 0.9023021221160888, avg_cov new addtive std: 0.011328272660759375
q new div mean: 2.394599211215973, q new div std: 0.06097989933898516
avg_len new div mean: 0.14816876724362374, avg_len new div std: 0.004313952018767786
avg_cov new div mean: 0.9005173355340957, avg_cov new div std: 0.008056697950993267
lumbar, densenet201, 0.1, 2
