q CP mean: 1.5159935534000397, q CP std: 0.012722884820811457
avg_len CP mean: 0.17800139784812927, avg_len CP std: 0.0014907782408171836
avg_cov CP mean: 0.901610353589058, avg_cov CP std: 0.008078902125125678
q GC mean: 1.4892690073499084, q GC std: 0.005807307304675828
avg_len GC mean: 0.17486353665590287, avg_len GC std: 0.0006800169654224019
avg_cov GC mean: 0.8926082372665405, avg_cov GC std: 0.005171457178415723
q new addtive mean: 0.007574786012992263, q new addtive std: 0.0005684041257299684
avg_len new addtive mean: 0.16020699143409728, avg_len new addtive std: 0.0016245773447181003
avg_cov new addtive mean: 0.9032206982374191, avg_cov new addtive std: 0.007838929496025765
q new div mean: 1.1148214280605315, q new div std: 0.0073876736771711915
avg_len new div mean: 0.1617138974368572, avg_len new div std: 0.0015782985022845402
avg_cov new div mean: 0.9035638809204102, avg_cov new div std: 0.007792331541316031
lumbar, efficientnetb4, 0.1, 1
