q CP mean: 1.7198359370231628, q CP std: 0.022625596751517957
avg_len CP mean: 0.2019355997443199, avg_len CP std: 0.0026471047933657155
avg_cov CP mean: 0.9520327419042587, avg_cov CP std: 0.006334117214626621
q GC mean: 1.7745737809803486, q GC std: 0.006919834650498487
avg_len GC mean: 0.20836278572678565, avg_len GC std: 0.0008102847256528735
avg_cov GC mean: 0.9595564931631089, avg_cov GC std: 0.002924175801981974
q new addtive mean: 0.016096807830035687, q new addtive std: 0.000608195463482198
avg_len new addtive mean: 0.17725103497505187, avg_len new addtive std: 0.001645736636408565
avg_cov new addtive mean: 0.9524023205041885, avg_cov new addtive std: 0.0047757924132832376
q new div mean: 1.2445039093494414, q new div std: 0.013125203478845266
avg_len new div mean: 0.1805262267589569, avg_len new div std: 0.002367367266045769
avg_cov new div mean: 0.9524287223815918, avg_cov new div std: 0.006397793950950752
lumbar, efficientnetb4, 0.05, 1
