q CP mean: 1.3735161125659943, q CP std: 0.010253490461248385
avg_len CP mean: 0.17819726169109346, avg_len CP std: 0.0013227767308078612
avg_cov CP mean: 0.9016103476285935, avg_cov CP std: 0.007102814956176833
q GC mean: 1.4180130707381664, q GC std: 0.005519728942675903
avg_len GC mean: 0.1839702993631363, avg_len GC std: 0.0007256121322736525
avg_cov GC mean: 0.9159714847803115, avg_cov GC std: 0.00444812474267514
q new addtive mean: 0.0226623073220253, q new addtive std: 0.000601267243631222
avg_len new addtive mean: 0.17343206629157065, avg_len new addtive std: 0.0013306949910817008
avg_cov new addtive mean: 0.897967267036438, avg_cov new addtive std: 0.006484286724992585
q new div mean: 1.3890693962574006, q new div std: 0.017309039484714888
avg_len new div mean: 0.17795656695961953, avg_len new div std: 0.0028652176964091077
avg_cov new div mean: 0.9010559558868408, avg_cov new div std: 0.00812078971580876
lumbar, densenet201, 0.1, 1
